brandname,dateoftransaction,count
Air New Zealand,2020-06-10,6
Champion,2020-06-10,64
Chewy,2020-06-10,104
Fatburger,2020-06-10,40
Janie And Jack,2020-06-10,34
Air New Zealand,2020-06-11,2
Champion,2020-06-11,154
Chewy,2020-06-11,25
Fatburger,2020-06-11,104
Janie And Jack,2020-06-11,90
Air New Zealand,2020-06-12,11
Chewy,2020-06-12,48
Fatburger,2020-06-12,38
Janie And Jack,2020-06-12,48
Champion,2020-06-12,80
Air New Zealand,2020-06-13,3
Century Theatres,2020-06-13,1
Champion,2020-06-13,64
Chewy,2020-06-13,10
Fatburger,2020-06-13,18
Janie And Jack,2020-06-13,36
Chewy,2020-06-14,11
Champion,2020-06-14,50
Fatburger,2020-06-14,8
Janie And Jack,2020-06-14,42
Air New Zealand,2020-06-15,2
Champion,2020-06-15,42
Chewy,2020-06-15,3
Fatburger,2020-06-15,10
Janie And Jack,2020-06-15,32
Air New Zealand,2020-06-16,1
Champion,2020-06-16,47
Chewy,2020-06-16,94
Fatburger,2020-06-16,29
Janie And Jack,2020-06-16,20
Air New Zealand,2020-06-17,2
Century Theatres,2020-06-17,2
Champion,2020-06-17,25
Chewy,2020-06-17,12
Fatburger,2020-06-17,22
Janie And Jack,2020-06-17,32
Air New Zealand,2020-06-18,2
Champion,2020-06-18,94
Chewy,2020-06-18,48
Fatburger,2020-06-18,34
Janie And Jack,2020-06-18,65
Air New Zealand,2020-06-19,11
Champion,2020-06-19,96
Chewy,2020-06-19,64
Fatburger,2020-06-19,31
Janie And Jack,2020-06-19,73
Air New Zealand,2020-06-20,1
Century Theatres,2020-06-20,2
Champion,2020-06-20,95
Chewy,2020-06-20,21
Fatburger,2020-06-20,21
Janie And Jack,2020-06-20,52
Air New Zealand,2020-06-21,1
Champion,2020-06-21,51
Chewy,2020-06-21,20
Fatburger,2020-06-21,25
Janie And Jack,2020-06-21,41
Air New Zealand,2020-06-22,2
Century Theatres,2020-06-22,1
Chewy,2020-06-22,12
Fatburger,2020-06-22,23
Champion,2020-06-22,53
Janie And Jack,2020-06-22,40
Champion,2020-06-23,20
Chewy,2020-06-23,13
Fatburger,2020-06-23,12
Janie And Jack,2020-06-23,17
Air New Zealand,2020-06-24,4
